Light Intensity (% of scale max) Run #2,Position (m) Run #2,Light Intensity (% of scale max) Run #11,Position (m) Run #11,Light Intensity (% of scale max) Run #12,Position (m) Run #12,Light Intensity (% of scale max) Run #13,Position (m) Run #13,Light Intensity (% of scale max) Run #14,Position (m) Run #14
0.4,0,0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0,0.4,0,0.4,0,0.4,0
0.4,3.75E-05,0.4,0,0.4,0,0.4,0,0.4,0
0.4,7.50E-05,0.4,0,0.4,0,0.4,1.13E-04,0.4,0
0.4,7.50E-05,0.4,0,0.4,0,0.4,3.00E-04,0.4,0
0.4,7.50E-05,0.4,0,0.4,0,0.4,3.00E-04,0.4,3.75E-05
0.4,7.50E-05,0.4,3.75E-05,0.4,0,0.4,3.00E-04,0.4,3.75E-05
0.4,7.50E-05,0.4,3.75E-05,0.4,0,0.4,3.38E-04,0.4,3.75E-05
0.4,7.50E-05,0.4,3.75E-05,0.4,0,0.4,7.88E-04,0.4,2.63E-04
0.4,7.50E-05,0.4,3.75E-05,0.4,0,0.4,0.001,0.4,2.63E-04
0.4,7.50E-05,0.4,3.75E-05,0.4,0,0.4,0.0013,0.4,2.63E-04
0.4,1.13E-04,0.4,3.75E-05,0.4,0,0.4,0.0013,0.4,2.63E-04
0.4,1.50E-04,0.4,3.75E-05,0.4,0,0.4,0.0018,0.4,2.63E-04
0.4,1.88E-04,0.4,3.75E-05,0.4,0,0.4,0.0023,0.4,3.00E-04
0.4,6.00E-04,0.4,3.75E-05,0.4,0,0.4,0.0026,0.4,3.75E-04
0.4,0.0015,0.4,3.75E-05,0.4,0,0.4,0.003,0.4,6.00E-04
0.4,0.0016,0.4,1.13E-04,0.4,0,0.4,0.003,0.4,0.0011
0.4,0.0017,0.4,1.50E-04,0.4,0,0.4,0.0034,0.4,0.0012
0.4,0.0022,0.4,1.50E-04,0.4,0,0.4,0.0036,0.4,0.0015
0.4,0.003,0.4,1.50E-04,0.4,0,0.4,0.0042,0.4,0.0019
0.4,0.0039,0.4,1.50E-04,0.4,0,0.4,0.005,0.4,0.0026
0.4,0.0047,0.4,1.88E-04,0.4,0,0.4,0.005,0.4,0.003
0.4,0.0047,0.4,1.88E-04,0.4,0,0.4,0.0051,0.4,0.0032
0.4,0.0052,0.4,1.88E-04,0.4,0,0.4,0.0053,0.4,0.0033
0.4,0.0053,0.4,2.25E-04,0.4,0,0.4,0.0056,0.4,0.0038
0.4,0.0057,0.4,3.38E-04,0.4,0,0.4,0.0068,0.4,0.0042
0.4,0.006,0.4,0.001,0.4,3.75E-05,0.4,0.0077,0.4,0.0046
0.4,0.0063,0.4,0.0014,0.4,3.75E-05,0.4,0.008,0.4,0.0051
0.4,0.0063,0.4,0.0016,0.4,7.50E-05,0.4,0.0081,0.4,0.0055
0.4,0.0063,0.4,0.002,0.4,7.50E-05,0.4,0.0081,0.4,0.0057
0.4,0.0065,0.4,0.0026,0.4,7.50E-05,0.4,0.0083,0.4,0.0063
0.4,0.0066,0.4,0.0032,0.4,7.50E-05,0.4,0.0088,0.4,0.0065
0.4,0.007,0.4,0.0039,0.4,7.50E-05,0.4,0.0105,0.4,0.0071
0.4,0.0076,0.4,0.0045,0.4,7.50E-05,0.4,0.0108,0.4,0.0083
0.4,0.0088,0.4,0.0047,0.4,1.13E-04,0.4,0.0109,0.4,0.0095
0.4,0.0095,0.4,0.0047,0.4,3.75E-04,0.4,0.0114,0.4,0.01
0.4,0.0096,0.4,0.0048,0.4,6.75E-04,0.4,0.0124,0.4,0.0107
0.4,0.0102,0.4,0.0053,0.4,0.0014,0.4,0.0134,0.4,0.0114
0.4,0.0108,0.4,0.0056,0.4,0.0014,0.4,0.0149,0.4,0.0118
0.4,0.0112,0.4,0.0059,0.4,0.0017,0.4,0.0151,0.4,0.0121
0.4,0.0114,0.4,0.0062,0.4,0.0028,0.4,0.0154,0.4,0.0125
0.4,0.0114,0.4,0.0067,0.4,0.0034,0.4,0.0157,0.4,0.0131
0.4,0.012,0.4,0.0072,0.4,0.0039,0.4,0.0159,0.4,0.0134
0.4,0.0123,0.4,0.008,0.4,0.0046,0.4,0.0162,0.4,0.0139
0.4,0.0124,0.4,0.0086,0.4,0.005,0.4,0.0173,0.4,0.0144
0.4,0.0132,0.4,0.0089,0.4,0.0051,0.4,0.018,0.4,0.0146
0.4,0.0136,0.4,0.0097,0.4,0.0059,0.4,0.018,0.4,0.0147
0.4,0.0145,0.4,0.0105,0.4,0.0068,0.4,0.018,0.4,0.0149
0.4,0.0152,0.4,0.0111,0.4,0.0076,0.4,0.0181,0.4,0.0153
0.4,0.0158,0.4,0.0114,0.4,0.0079,0.4,0.0181,0.4,0.016
0.4,0.0162,0.4,0.0119,0.4,0.008,0.4,0.0183,0.4,0.0164
0.4,0.0166,0.4,0.0121,0.4,0.0081,0.4,0.0185,0.4,0.0168
0.4,0.0172,0.4,0.0125,0.4,0.0082,0.4,0.0187,0.4,0.0171
0.4,0.0176,0.4,0.0128,0.4,0.0084,0.4,0.019,0.4,0.0173
0.4,0.0178,0.4,0.0133,0.4,0.0084,0.4,0.02,0.4,0.0175
0.4,0.018,0.4,0.0137,0.4,0.0085,0.4,0.0217,0.4,0.0176
0.4,0.0183,0.4,0.014,0.4,0.0086,0.4,0.0217,0.4,0.0176
0.4,0.0189,0.4,0.0142,0.4,0.0088,0.4,0.0217,0.4,0.0177
0.4,0.0206,0.4,0.0146,0.4,0.0093,0.4,0.0223,0.4,0.0178
0.5,0.0219,0.4,0.0148,0.4,0.0101,0.4,0.0233,0.4,0.0178
0.5,0.0224,0.4,0.0151,0.4,0.0103,0.4,0.0236,0.4,0.0179
0.5,0.0228,0.4,0.0153,0.4,0.0109,0.4,0.0243,0.4,0.018
0.5,0.0231,0.4,0.0153,0.4,0.0119,0.4,0.0253,0.4,0.018
0.5,0.0236,0.4,0.0153,0.4,0.0121,0.4,0.0255,0.4,0.018
0.5,0.0241,0.4,0.0153,0.4,0.0124,0.4,0.0261,0.4,0.018
0.5,0.0247,0.4,0.0155,0.4,0.0127,0.4,0.027,0.4,0.0182
0.5,0.0252,0.4,0.0158,0.4,0.0132,0.4,0.0274,0.4,0.0184
0.5,0.0256,0.4,0.0159,0.4,0.0136,0.4,0.0276,0.4,0.0187
0.5,0.0263,0.4,0.0159,0.4,0.014,0.4,0.0279,0.4,0.0192
0.4,0.0269,0.4,0.016,0.4,0.0145,0.4,0.028,0.4,0.0207
0.4,0.0273,0.4,0.0164,0.4,0.015,0.4,0.0282,0.4,0.0219
0.4,0.0277,0.4,0.0168,0.4,0.0153,0.4,0.0283,0.4,0.0223
0.4,0.0279,0.4,0.0172,0.4,0.0156,0.4,0.0285,0.4,0.0228
0.4,0.0283,0.4,0.0173,0.4,0.0162,0.4,0.0287,0.4,0.0232
0.4,0.0283,0.4,0.0173,0.4,0.0169,0.4,0.0287,0.4,0.0237
0.4,0.0286,0.4,0.0174,0.4,0.0175,0.4,0.0288,0.4,0.0239
0.4,0.0288,0.4,0.0174,0.4,0.0175,0.4,0.0293,0.4,0.024
0.5,0.0299,0.4,0.0174,0.4,0.0175,0.4,0.0304,0.4,0.0246
0.5,0.0309,0.4,0.0175,0.4,0.0176,0.4,0.0308,0.4,0.0248
0.5,0.0312,0.4,0.0177,0.4,0.0178,0.4,0.031,0.4,0.0252
0.5,0.0312,0.4,0.0179,0.4,0.0183,0.4,0.0312,0.4,0.0254
0.5,0.0315,0.4,0.0179,0.4,0.019,0.4,0.0316,0.4,0.0258
0.5,0.032,0.4,0.0181,0.4,0.019,0.4,0.0331,0.4,0.0264
0.5,0.0328,0.4,0.0186,0.4,0.0191,0.4,0.0348,0.4,0.0276
0.5,0.0337,0.4,0.0186,0.4,0.0198,0.4,0.0351,0.4,0.028
0.4,0.0348,0.4,0.0187,0.4,0.0213,0.4,0.0353,0.4,0.0284
0.4,0.0349,0.4,0.0187,0.4,0.0218,0.4,0.0353,0.4,0.0285
0.4,0.0358,0.4,0.0193,0.4,0.0222,0.4,0.0359,0.4,0.0288
0.4,0.036,0.4,0.0205,0.4,0.0225,0.4,0.036,0.4,0.0289
0.4,0.0363,0.4,0.0212,0.4,0.0231,0.4,0.0361,0.4,0.03
0.4,0.0368,0.4,0.0217,0.4,0.0236,0.4,0.0361,0.4,0.0312
0.4,0.0369,0.4,0.0221,0.4,0.0243,0.4,0.0365,0.4,0.0312
0.4,0.037,0.4,0.0227,0.4,0.0252,0.4,0.0366,0.4,0.0314
0.4,0.0372,0.4,0.0231,0.4,0.0256,0.4,0.0369,0.4,0.032
0.4,0.0373,0.4,0.0234,0.4,0.0267,0.4,0.037,0.4,0.0333
0.4,0.0377,0.4,0.0236,0.4,0.0271,0.4,0.037,0.4,0.0343
0.4,0.0382,0.4,0.0239,0.4,0.0278,0.4,0.037,0.4,0.0348
0.4,0.0402,0.4,0.0245,0.4,0.0282,0.4,0.0371,0.4,0.0353
0.4,0.0411,0.4,0.025,0.4,0.0285,0.4,0.0373,0.4,0.0358
0.4,0.0418,0.4,0.0262,0.4,0.0286,0.4,0.0375,0.4,0.0359
0.4,0.0421,0.4,0.0273,0.4,0.0286,0.4,0.0375,0.4,0.036
0.4,0.0425,0.4,0.0274,0.4,0.0286,0.4,0.0375,0.4,0.0361
0.4,0.0429,0.4,0.0278,0.4,0.0289,0.4,0.0375,0.4,0.0361
0.4,0.0441,0.4,0.0279,0.4,0.0293,0.4,0.0375,0.4,0.0365
0.4,0.0452,0.4,0.0282,0.4,0.03,0.4,0.0375,0.4,0.0369
0.4,0.0462,0.4,0.0284,0.4,0.0307,0.4,0.0375,0.4,0.037
0.4,0.0468,0.4,0.0289,0.4,0.0309,0.4,0.0375,0.4,0.037
0.4,0.0471,0.4,0.0297,0.4,0.0311,0.4,0.0375,0.4,0.037
0.5,0.0478,0.4,0.0303,0.4,0.0313,0.4,0.0375,0.4,0.037
0.6,0.0486,0.4,0.0308,0.4,0.0321,0.4,0.0375,0.4,0.037
0.7,0.0496,0.4,0.0312,0.4,0.0333,0.4,0.0375,0.4,0.037
0.7,0.0501,0.4,0.0317,0.4,0.0349,0.4,0.0375,0.4,0.037
0.7,0.0508,0.4,0.0324,0.4,0.0355,0.4,0.0375,0.4,0.037
0.7,0.0515,0.4,0.0331,0.4,0.036,0.4,0.0375,0.4,0.037
0.6,0.0522,0.4,0.0336,0.4,0.0363,0.4,0.0375,0.4,0.037
0.5,0.0529,0.4,0.0342,0.4,0.0366,0.4,0.0375,0.4,0.037
0.5,0.0535,0.4,0.0346,0.4,0.0367,0.4,0.0375,0.4,0.037
0.4,0.0539,0.4,0.0348,0.4,0.0367,0.4,0.0375,0.4,0.037
0.4,0.0543,0.4,0.0351,0.4,0.0368,0.4,0.0375,0.4,0.037
0.4,0.0548,0.4,0.0358,0.4,0.0368,0.4,0.0375,0.4,0.037
0.4,0.0549,0.4,0.0362,0.4,0.0369,0.4,0.0375,0.4,0.0371
0.4,0.0555,0.4,0.0365,0.4,0.0369,0.4,0.0375,0.4,0.0371
0.5,0.0561,0.4,0.0365,0.4,0.0369,0.4,0.0375,0.4,0.0375
0.6,0.0571,0.4,0.0365,0.4,0.0369,0.4,0.0379,0.4,0.0379
0.7,0.0574,0.4,0.0365,0.4,0.037,0.4,0.0384,0.4,0.0393
0.8,0.0579,0.4,0.0366,0.4,0.037,0.4,0.0396,0.4,0.0411
0.8,0.0581,0.4,0.0366,0.4,0.037,0.4,0.0403,0.4,0.0411
0.8,0.0584,0.4,0.0367,0.4,0.0371,0.4,0.0407,0.4,0.0411
0.8,0.0585,0.4,0.0367,0.4,0.0372,0.4,0.041,0.4,0.0412
0.8,0.0591,0.4,0.0367,0.4,0.0372,0.4,0.0413,0.4,0.0416
0.8,0.0591,0.4,0.0369,0.4,0.0372,0.4,0.0423,0.4,0.0423
0.8,0.0594,0.4,0.0369,0.4,0.0373,0.4,0.0426,0.4,0.0428
0.8,0.0594,0.4,0.037,0.4,0.0375,0.4,0.0428,0.4,0.0436
0.8,0.0597,0.4,0.0371,0.4,0.0377,0.4,0.0441,0.4,0.0443
0.8,0.0598,0.4,0.0372,0.4,0.0379,0.4,0.045,0.4,0.0452
0.8,0.0599,0.4,0.0373,0.4,0.0384,0.4,0.0461,0.4,0.0455
0.8,0.06,0.4,0.0373,0.4,0.0389,0.4,0.0466,0.4,0.0459
0.7,0.0605,0.4,0.0373,0.4,0.0403,0.4,0.0477,0.4,0.0465
0.6,0.0614,0.4,0.0373,0.4,0.0409,0.4,0.0478,0.4,0.0467
0.5,0.0619,0.4,0.0373,0.4,0.0417,0.4,0.0487,0.4,0.0471
0.5,0.0621,0.4,0.0374,0.4,0.0426,0.4,0.0491,0.4,0.0477
0.5,0.0622,0.4,0.0373,0.4,0.0433,0.4,0.0497,0.4,0.0482
0.4,0.0628,0.4,0.0373,0.4,0.0443,0.4,0.0497,0.4,0.0486
0.4,0.0639,0.4,0.0373,0.4,0.045,0.4,0.0497,0.4,0.0494
0.4,0.0644,0.4,0.0373,0.4,0.0458,0.4,0.0498,0.4,0.0496
0.4,0.0644,0.4,0.0373,0.4,0.0462,0.4,0.0498,0.4,0.05
0.4,0.0643,0.4,0.0373,0.4,0.0465,0.4,0.0498,0.4,0.0501
0.4,0.0643,0.4,0.0373,0.4,0.0468,0.4,0.0501,0.4,0.0507
0.4,0.0643,0.4,0.0373,0.4,0.0473,0.4,0.0505,0.4,0.0509
0.4,0.0643,0.4,0.0373,0.4,0.0476,0.4,0.0506,0.4,0.0514
0.4,0.0643,0.4,0.0373,0.4,0.0477,0.4,0.0512,0.4,0.0522
0.4,0.0643,0.4,0.0373,0.4,0.0482,0.4,0.0513,0.4,0.0531
0.4,0.0643,0.4,0.0373,0.4,0.0483,0.4,0.0522,0.4,0.0533
0.4,0.0643,0.4,0.0373,0.4,0.0485,0.4,0.0527,0.4,0.0536
0.4,0.0643,0.4,0.0373,0.4,0.049,0.4,0.0532,0.4,0.054
0.4,0.0643,0.4,0.0373,0.4,0.0494,0.4,0.0536,0.4,0.0545
0.4,0.0643,0.4,0.0374,0.4,0.0501,0.4,0.0543,0.4,0.0551
0.4,0.0643,0.4,0.0375,0.4,0.0512,0.4,0.055,0.4,0.0559
0.4,0.0644,0.4,0.0376,0.4,0.0516,0.4,0.0555,0.4,0.0568
0.4,0.0644,0.4,0.0376,0.4,0.0521,0.4,0.056,0.4,0.0569
0.4,0.0644,0.4,0.0377,0.4,0.0522,0.4,0.0566,0.4,0.0577
0.4,0.0644,0.4,0.0377,0.4,0.0522,0.4,0.0569,0.4,0.0578
0.4,0.0644,0.4,0.038,0.4,0.0522,0.4,0.0573,0.4,0.0582
0.4,0.0644,0.4,0.038,0.4,0.0522,0.4,0.0581,0.4,0.0583
0.4,0.0644,0.4,0.038,0.4,0.0533,0.4,0.0582,0.4,0.0586
0.4,0.0644,0.4,0.0383,0.4,0.0536,0.4,0.0591,0.4,0.059
0.4,0.0645,0.4,0.0389,0.4,0.0536,0.4,0.0595,0.4,0.0597
0.4,0.0654,0.4,0.0399,0.4,0.0537,0.4,0.0603,0.4,0.0602
0.4,0.066,0.4,0.0403,0.4,0.0539,0.4,0.0608,0.4,0.0603
0.4,0.066,0.4,0.0408,0.4,0.0544,0.4,0.0618,0.4,0.0607
0.4,0.066,0.4,0.0411,0.4,0.0549,0.4,0.0619,0.4,0.0615
0.4,0.0663,0.4,0.0416,0.4,0.0555,0.4,0.0624,0.4,0.0621
0.4,0.0667,0.4,0.0421,0.4,0.0561,0.4,0.0625,0.4,0.0624
0.4,0.0668,0.4,0.0429,0.4,0.0567,0.4,0.0629,0.4,0.0629
0.4,0.0671,0.4,0.0442,0.4,0.057,0.4,0.0631,0.4,0.0637
0.4,0.0678,0.4,0.045,0.4,0.0572,0.4,0.0637,0.4,0.0641
0.4,0.0684,0.4,0.0453,0.4,0.0574,0.4,0.064,0.4,0.0644
0.4,0.0688,0.4,0.0459,0.4,0.0576,0.4,0.0646,0.4,0.065
0.4,0.069,0.4,0.0464,0.4,0.0582,0.4,0.0654,0.4,0.0654
0.4,0.0693,0.4,0.0471,0.4,0.0584,0.4,0.066,0.4,0.066
0.4,0.0702,0.4,0.048,0.4,0.0588,0.4,0.0667,0.4,0.0665
0.4,0.0705,0.4,0.0486,0.4,0.059,0.4,0.0668,0.4,0.0671
0.4,0.0708,0.4,0.0491,0.4,0.0596,0.4,0.0672,0.4,0.0679
0.4,0.0712,0.4,0.0495,0.4,0.0599,0.4,0.0675,0.4,0.0682
0.4,0.0722,0.4,0.0495,0.4,0.0606,0.4,0.0681,0.4,0.069
0.4,0.0727,0.4,0.0498,0.4,0.0608,0.4,0.0682,0.4,0.0696
0.5,0.0732,0.4,0.0498,0.4,0.0614,0.4,0.0689,0.4,0.0702
0.7,0.0741,0.4,0.0506,0.4,0.0616,0.4,0.069,0.4,0.0704
0.9,0.0746,0.4,0.0513,0.4,0.0619,0.4,0.0698,0.4,0.071
1.2,0.075,0.4,0.0521,0.4,0.0619,0.4,0.0698,0.4,0.0715
1.4,0.0755,0.4,0.0527,0.4,0.0619,0.4,0.0699,0.4,0.0719
1.8,0.0768,0.4,0.0534,0.4,0.0621,0.4,0.0704,0.4,0.0721
2.1,0.0771,0.4,0.0538,0.4,0.0624,0.4,0.0708,0.4,0.0728
2,0.0782,0.4,0.0546,0.4,0.0624,0.4,0.0717,0.4,0.0732
1.8,0.079,0.4,0.0549,0.4,0.0624,0.4,0.0719,0.4,0.0739
0.8,0.0803,0.4,0.0554,0.4,0.0624,0.4,0.0721,0.4,0.0743
0.7,0.0805,0.4,0.0558,0.4,0.0624,0.4,0.0722,0.4,0.0745
0.6,0.0816,0.4,0.0561,0.4,0.0625,0.4,0.0728,0.4,0.0746
1.2,0.082,0.4,0.0566,0.4,0.0625,0.4,0.0732,0.4,0.0746
2.1,0.0829,0.4,0.0571,0.4,0.0625,0.4,0.0738,0.4,0.0747
2.4,0.0833,0.4,0.0575,0.4,0.0625,0.4,0.0739,0.4,0.0749
4.2,0.084,0.4,0.0581,0.4,0.0625,0.4,0.0742,0.4,0.075
4.8,0.0844,0.4,0.0585,0.4,0.0627,0.4,0.0744,0.4,0.0756
5.9,0.0849,0.4,0.059,0.4,0.0627,0.4,0.0746,0.4,0.0757
6.4,0.0856,0.4,0.0594,0.4,0.0627,0.4,0.075,0.4,0.0759
6.5,0.0864,0.4,0.0599,0.4,0.0627,0.4,0.0756,0.4,0.0762
6,0.0868,0.4,0.06,0.4,0.0627,0.4,0.0757,0.4,0.0767
5.8,0.0869,0.4,0.0603,0.4,0.0626,0.4,0.0758,0.4,0.0768
5.1,0.0873,0.4,0.0605,0.4,0.0626,0.4,0.0758,0.4,0.0772
4.9,0.0875,0.4,0.0605,0.4,0.0626,0.4,0.0764,0.4,0.0778
4.4,0.0877,0.4,0.0605,0.4,0.0626,0.4,0.0769,0.5,0.0785
3.8,0.0879,0.4,0.0609,0.4,0.0626,0.4,0.0773,0.5,0.0786
2.8,0.0885,0.4,0.0615,0.4,0.0626,0.4,0.0775,0.5,0.0789
2.3,0.089,0.4,0.0618,0.4,0.0626,0.4,0.0781,0.5,0.0792
0.8,0.0898,0.4,0.0619,0.4,0.0626,0.4,0.0784,0.5,0.0798
0.9,0.0904,0.4,0.0622,0.4,0.0626,0.4,0.0789,0.5,0.0805
1.2,0.0909,0.4,0.0627,0.4,0.0626,0.4,0.0789,0.5,0.0807
2.6,0.0913,0.4,0.0631,0.4,0.0626,0.4,0.0789,0.5,0.0814
3.5,0.0918,0.4,0.0641,0.4,0.0626,0.4,0.0793,0.5,0.0817
6,0.0925,0.4,0.0644,0.4,0.0626,0.5,0.0798,0.5,0.0823
7.1,0.093,0.4,0.0644,0.4,0.0626,0.5,0.08,0.5,0.0824
8.7,0.0939,0.4,0.0645,0.4,0.0626,0.5,0.0801,0.6,0.0828
9.4,0.0943,0.4,0.0653,0.4,0.0626,0.5,0.0802,0.6,0.083
9.3,0.0948,0.4,0.0657,0.4,0.0626,0.5,0.0802,0.6,0.0835
8.1,0.096,0.4,0.0666,0.4,0.0626,0.5,0.0807,0.5,0.0838
6.2,0.0963,0.4,0.0669,0.4,0.0626,0.5,0.081,0.5,0.0842
